English,Vietnamese
station,ga tàu
acting,hành động
accept,chấp nhận
blow,thổi
strange,lạ lùng
saved,đã lưu
Ivy or ivy,Ivy hoặc Ivy
conversation,cuộc hội thoại
plane,máy bay
mama,má
yesterday,Hôm qua
lied,nói dối
quick,nhanh
lately,gần đây
stuck,mắc kẹt
lovely,đáng yêu
security,bảo vệ
report,báo cáo
Barbara,Barbara
difference,sự khác biệt
rid,thoát khỏi
tv or TV,TV hoặc TV
Adam,Adam
store,cửa hàng
she'd,túp lều
bag,cái túi
Mike,Mike
bought,mua
ball,quả bóng
single,đơn
Kevin,Kevin
doubt,nghi ngờ
listening,lắng nghe
major,lớn lao
walking,đi dạo
cops,Cảnh sát
blue,màu xanh da trời
deep,sâu
dangerous,nguy hiểm
Buffy,Buffy
park or Park,công viên hoặc công viên
sleeping,Ngủ
Chloe,Chloe
Rafe,Rafe
shh,Shh
record,ghi 
lord,Chúa tể
Erica,Erica
moved,di chuyển
join,tham gia
key,chìa khóa
captain,đội trưởng
card,Thẻ
crime,tội phạm
gentlemen,quý ông
willing,sẵn sàng
window,cửa sổ
return,trở lại
walked,đi bộ
guilty,tội lỗi
Brenda,Brenda
likes,thích
fighting,Chiến đấu
difficult,khó 
soul,linh hồn
joke,câu nói đùa
service,dịch vụ
magic,ảo thuật
favorite,yêu thích
uncle,chú 
promised,hứa
public,công cộng
bother,làm phiền
island,hòn đảo
Jim,Jim
seriously,nghiêm túc
cell,tế bào
lead,chỉ huy
knowing,Biết
broken,vỡ
advice,khuyên bảo
somehow,bằng cách nào đó
paid,trả
Blair,Blair
losing,Mất
push,xô
helped,đã giúp
killing,giết người
usually,thường xuyên
earlier,sớm hơn
boss,ông chủ
Laura,Laura
beginning,bắt đầu
liked,đã thích
innocent,vô tội
doc,DOC
rules,quy tắc
Elizabeth,Elizabeth
Sabrina,Sabrina
summer or Summer,Mùa hè hoặc mùa hè
ex,bán tại
cop,cảnh sát
learned,đã học
thirty,ba mươi
risk,rủi ro
letting,cho phép
Phillip,Phillip
speaking,nói
officer,nhân viên văn phòng
ridiculous,lố bịch
support,ủng hộ
afternoon,buổi chiều
Eric,Eric
born,sinh ra
dreams,Những giấc mơ
apologize,xin lỗi
seat,ghế
nervous,lo lắng
across,sang
song,bài hát
Olivia,Olivia
charge,thù lao
patient,kiên nhẫn
Cassie,Cassie
boat,thuyền
how'd,Làm thế nào
brain,não
hide,trốn
detective,thám tử
Aaron,Aaron
Kendall,Kendall
general,tổng quan
Tom,Tom
planning,lập kế hoạch
nine,chín
huge,to lớn
breakfast,bữa sáng
horrible,tệ hại
age,tuổi
awful,tồi tệ
pleasure,vinh hạnh
driving,điều khiển
hanging,treo
picked,chọn
system,hệ thống
sell,bán
quit,từ bỏ
apparently,rõ ràng
dying,chết
notice,để ý
Josh,Josh
congratulations,Chúc mừng
chief,trưởng
faith,sự tin tưởng
Simon,Simon
gay,Gay
ho or Ho,ho hoặc ho
one's,một người
month,tháng
visit,thăm nom
Hal,HAL
could've,có thể
c'mon,Thôi nào
aw,Aw
Edmund,Edmund
Brady,Brady
letter,thư
decide,quyết định
American,Người Mỹ
double,gấp đôi
Troy,Troy
sad,buồn
press,nhấn
forward,phía trước
fool,ngu xuẩn
showed,cho thấy
smell,mùi
seemed,dường như
Mary,Mary
spell,Đánh vần
Courtney,Courtney
memory,ký ức
Mark or mark,Đánh dấu hoặc đánh dấu
Alan,Alan
pictures,những bức ảnh
Paris,Paris
slow,chậm
Joe or joe,Joe hoặc Joe
Tim,Tim
seconds,giây
hungry,đói bụng
board,Cái bảng
position,chức vụ
hearing,thính giác
Roz,Roz
kitchen,phòng bếp
ma'am,Ma'am
Bob or bob,Bob hoặc Bob
force,lực lượng
fly,bay
during,trong lúc
space,không gian
should've,nên
realized,nhận ra
experience,kinh nghiệm
kick,đá
others,người khác
grab,vồ lấy
mother 's,Mẹ
P .,P .
Sharon,Sharon
discuss,bàn luận
third,ngày thứ ba
cat or Cat,mèo hoặc mèo
fifty,năm mươi
responsible,chịu trách nhiệm
Jennifer,Jennifer
Philip,Philip
miles or Miles,dặm hoặc dặm
fat,mập
reading,đọc
idiot,kẻ ngốc
yep,chuẩn rồi
rock,đá
rich,giàu có
suddenly,đột nhiên
agent,đại lý
bunch,bó
destroy,hủy hoại
bucks,Xô
track,theo dõi
shoes,đôi giày
scene,bối cảnh
peace,hòa bình
arms,cánh tay
demon,quỷ
Diane,Diane
Bridget,Bridget
Brad,Brad
low,thấp
Livvie,Livvie
consider,coi như
papers,Giấy tờ
medical,thuộc về y học
incredible,đáng kinh ngạc
witch,Phù thủy
er,er
drunk,say rượu
attorney,Luật sư
Charlie,Charlie
tells,nói
knock,cú đánh
Karen,Karen
ways,cách
eh,Hở
belle or Belle,Belle hoặc Belle
cash or Cash,tiền mặt hoặc tiền mặt
gives,cho
department,phòng
nose,mũi
Skye,Skye
turns,quay lại
keeps,giữ
beer,bia
jealous,ghen tị
drug,thuốc
Molly,Molly
sooner,sớm hơn
cares,quan tâm
plenty,nhiều
extra,thêm
tea,trà
won,thắng
attack,tấn công
ground,đất
whose,của ai
outta,Outta
Kyle,Kyle
L .,L.
weekend,ngày cuối tuần
matters,vấn đề
wrote,đã viết
type,kiểu
father 's,cha
Alex,Alex
gosh,Trời ạ
opportunity,cơ hội
king,nhà vua
impossible,không thể nào
books,sách
machine,máy móc
waste,rác thải
th#English|-th|th,TH English | -th | th
pretend,giả vờ
named,Được đặt tên
danger,sự nguy hiểm
wall,tường
Liz,Liz
Ian,Ian
Henry,Henry
jump,nhảy
eating,Ăn
proof,bằng chứng
complete,hoàn thành
slept,đã ngủ
career,sự nghiệp
arrest,bắt giữ
star,ngôi sao
